ticker,shortName,type,minTradeQuantity,currencyCode
A_US_EQ,A,STOCK,0.01,USD
AA_US_EQ,AA,STOCK,0.01,USD
AACG_US_EQ,AACG,STOCK,0.5,USD
AACT_US_EQ,AACT,STOCK,0.1,USD
ARPO_US_EQ,AADI,STOCK,0.01,USD
AAGIY_US_EQ,AAGIY,STOCK,0.01,USD
AALl_EQ,AAL,STOCK,0.01,GBX
AAMC_US_EQ,AAMC,STOCK,0.1,USD
AAME_US_EQ,AAME,STOCK,0.1,USD
AAOI_US_EQ,AAOI,STOCK,0.1,USD
AAP_US_EQ,AAP,STOCK,0.01,USD
AAPL_US_EQ,AAPL,STOCK,0.01,USD
AAT_US_EQ,AAT,STOCK,0.06,USD
ISNS_US_EQ,AATC,STOCK,0.1,USD
ABp_EQ,AB,STOCK,0.1,EUR
ABML_US_EQ,ABAT,STOCK,0.1,USD
ABB_US_EQ,ABBNY,STOCK,0.05,USD
ABBRF_US_EQ,ABBRF,STOCK,0.5,USD
ABBV_US_EQ,ABBV,STOCK,0.01,USD
ABCL_US_EQ,ABCL,STOCK,0.03,USD
ABEO_US_EQ,ABEO,STOCK,1.0,USD
ABEPF_US_EQ,ABEPF,STOCK,1.0,USD
ABEV_US_EQ,ABEV,STOCK,0.5,USD
ABG_US_EQ,ABG,STOCK,0.01,USD
ABIO_US_EQ,ABIO,STOCK,0.5,USD
ABL_US_EQ,ABL,STOCK,0.1,USD
ABLV_US_EQ,ABLV,STOCK,0.1,USD
ABM_US_EQ,ABM,STOCK,0.01,USD
ABNB_US_EQ,ABNB,STOCK,0.01,USD
ABOS_US_EQ,ABOS,STOCK,0.1,USD
ABR_US_EQ,ABR,STOCK,0.01,USD
ABSI_US_EQ,ABSI,STOCK,0.01,USD
ABT_US_EQ,ABT,STOCK,0.01,USD
MOXC_US_EQ,ABTS,STOCK,1.0,USD
ABUS_US_EQ,ABUS,STOCK,0.1,USD
ABVC_US_EQ,ABVC,STOCK,0.25,USD
ABVX_US_EQ,ABVX,STOCK,0.15,USD
AC_CA_EQ,AC,STOCK,0.06,CAD
ACAp_EQ,ACA,STOCK,0.2,EUR
ACAB_US_EQ,ACAB,STOCK,1.0,USD
ACAD_US_EQ,ACAD,STOCK,0.01,USD
ACB_CA_EQ,ACB,STOCK,0.2,CAD
ACCD_US_EQ,ACCD,STOCK,0.01,USD
PFHC_US_EQ,ACDC,STOCK,0.1,USD
ACET_US_EQ,ACET,STOCK,0.1,USD
ACGL_US_EQ,ACGL,STOCK,0.01,USD
ACHC_US_EQ,ACHC,STOCK,0.01,USD
ACHL_US_EQ,ACHL,STOCK,0.1,USD
ACIC_US_EQ,ACHR,STOCK,0.1,USD
ACHV_US_EQ,ACHV,STOCK,1.0,USD
ACI_US_EQ,ACI,STOCK,0.01,USD
UIHC_US_EQ,ACIC,STOCK,0.1,USD
ACIU_US_EQ,ACIU,STOCK,0.1,USD
ACLLY_US_EQ,ACLLY,STOCK,1.0,USD
ACLS_US_EQ,ACLS,STOCK,0.06,USD
ACLX_US_EQ,ACLX,STOCK,0.1,USD
ACM_US_EQ,ACM,STOCK,0.01,USD
ACMR_US_EQ,ACMR,STOCK,0.01,USD
ACN_US_EQ,ACN,STOCK,0.001,USD
ACON_US_EQ,ACON,STOCK,0.29,USD
ACOPY_US_EQ,ACOPY,STOCK,0.1,USD
ACOR_US_EQ,ACORQ,STOCK,0.1,USD
ACR_US_EQ,ACR,STOCK,0.14,USD
ACRDF_US_EQ,ACRDF,STOCK,0.1,USD
ACRE_US_EQ,ACRE,STOCK,0.1,USD
ACRS_US_EQ,ACRS,STOCK,0.2,USD
ACRV_US_EQ,ACRV,STOCK,0.2,USD
ACST_US_EQ,ACST,STOCK,0.1,USD
ACTG_US_EQ,ACTG,STOCK,0.1,USD
ACTHF_US_EQ,ACTHD,STOCK,1.0,USD
ACTU_US_EQ,ACTU,STOCK,0.2,USD
ACU_US_EQ,ACU,STOCK,0.01,USD
ACWIl_EQ,ACWI,ETF,1.0,GBP
ACXP_US_EQ,ACXP,STOCK,0.1,USD
ADAG_US_EQ,ADAG,STOCK,0.1,USD
ADAP_US_EQ,ADAP,STOCK,0.3,USD
ADBE_US_EQ,ADBE,STOCK,0.001,USD
